overall,reviewText,reviewTime,summary,year,sentiment
5,"This game is more advanced than the others in the Ace series. This takes place not in the courtroom but in the investigation arena. New characters and storyplots that keep you guessing and interested. The characters can be moved by your stylus within scens. You interview suspects, put together logical sequences using crime scenes. It's all about discovering the truth! Great game for your DS.",2010-03-07,Another Ace Winner!,2010,Positive
5,"they say its to short but i played and then replayed it. i got more then just 10 to 12 hours out of it. split screen is nice to co-op story and 1 player story are told well ,nice twist on the co-op one to. other then the online part being hit or miss the game is fun as hell.",2010-05-09,diffrent then the others but still good,2010,Positive
5,"This game was soo much fun. If I had to choose between Resident Evil 2 and this I would argue this is a superior title. The graphics for its time were outstanding, the story is genuinely unique and original in many ways its a superior take on the scientific disaster. I don't understand why the series didn't take off.

I paid about $15 for the game brand new and I would argue its well worth that and more!  If you can get this game for under $30 I would say do it, you can totally get about 10 hours of entertainment from the main story, and you can beat the game at higher difficulty and unlock secrets if you play it a second time. If you liked Resident evil games for the ps1 or Code Veronica for the dreamcast  this game will blow your mind!",2010-07-11,Fun fun fun!,2010,Positive
5,"This sounds crazy, but my son has a nervous habit of biting on the wire of his headsets while he's playing.  This solved that problem.  It works fine and is much less cumbersome.",2010-12-14,Convenient wireless headset,2010,Positive
5,"An amazing improvement over the first game. The first was very nice, great concept, storyline, gameplay, graphics, scenarios etc. But very repetitive and became boring after a while.

AC2 is another beast! first game looks like pacman compared to this one. The stunning graphics and details are something to fall in love with, the cities!! OH VENICE! absolutely charming during carnival. Sucha  great story... so many things to do so many places to visit!

This game wasn`t boring at all the guys at ubisoft did their homework very well.

Thank you very much it was a pleasure playing this game and now I can`t wait for the sequel.",2010-02-09,Fantastic,2010,Positive
4,"You have to  stand up and Take Notice and give Capcom some credit
for a Unique Re-Launching of A Somewhat Forgotten Classic

The Original Bionic Commando was Ahead of its time in the 8Bit Area

CAPCOM & GRIN  did a ***** Job on this title
It's Fun  it seem to me now more Game aren't made to be fun
More like going through the motions

The Low Price alone should make any XBox360 Owner jump on it
Stick with it for a hour  and master the controls and you'll Enjoy and Appreciate what Capcom tried to do

Controls 8.5/10  (Once u get the hang of the how to Play it Does work Not Flawlessly But, pretty Good
Graphics  The game runs on Grin's own 'Diesel' engine  9/10
Audio  5.1 Dolby Digital is a Great Audio mix  along side the V/O Casting for  Nathan ""RAD"" Spencer (voiced by Mike Patton, The Lead Singer of Faith No More) is Such a Great Idea he does a killer job!  10/10
Over All  A Must Play title  8.5/10
It's A Very Good High Profile title that got Lost or Over Looked  in the Shuffle
Not All games are gonna be Call of Duty, Gears of War, Bio Shock, Assassin's Creed, Halo, Mass Effect!",2010-02-13,A Surprising Remake,2010,Positive
3,"The Good:

* Great history tool, which includes a virtual museum.
* Great pregame and halftime show.
* The in-game crowd makes it feel like you are at the game.

The Bad:

* Glitchy, buggy and feels like an unfinished game.
* Play-by-play is out of sync.
* Makes it feel like you are playing a game from 20 years ago.

The Bottom Line:

No doubt that this game was designed to teach you about black college football and it certainly done that.  Unfortunately it feels as if by the time they finished this game, they said to themselves: ""Oh we forgot to include the actual football into this game.""  Too bad I don't have my Madden 93 disc anymore, because I swear it feels almost like it(watered down version, too) when it comes to gameplay.  This game only has two penalties:  Delay of Game and Offside...that's it!  The players keep repeating same trash talk lines over and over and over.  Player models are very robot-like and show no personality in terms of skill.  While the presentation is great, the gameplay is certainly not.  Even the developers knew this, which is why this game was delayed several times in order not to compete with other superior releases.",2010-03-07,Come for the history; Leave for the football.,2010,Negative
5,"If you loved Bioshock, this is just a lot more of it, with a few new things thrown in the mix.",2010-05-27,great game,2010,Positive
5,"When I first started playing it I thought it was an ok game and I was just going to beat it and put it along side the rest of the games I have beaten. But once I got to the second Act this game really gets intense and very interesting. So now im planning on getting the platinium trophy and I think that if you can get this game, you should.",2010-05-24,Great Wild West Game!,2010,Positive
5,"Perhaps this game is a sleeper:I happened on it quite by accident. When I saw how beautiful and intriguing the game was by playing a trial version, I hopped over to Amazon to download it. This game is not for kids. It's for people who love polished art, a thrilling story line and sonorous, awesome sound. It is for people with a heightened sense of beauty who can drink in and marvel at the Mona Lisa and Michelangelo's David and Van Gogh's self portrait (you'll meet them all and many more great works of art in the Art Vault, one of three complexes you'll visit). This is a feast for the eyes to be enjoyed, to be savored. You can smell the roses.

The game starts with a girl who has been sleeping a hundred years and who suddenly wakes up, not knowing who she is or where she is. She has been entombed in a crypt but why? How? Where? Three skeletons dressed in royal garb lie nearby.

That plot may sound far from original but there are many twists and turns and surprises in this game and it is not like any other, it is unique. The girl, aroused from her long sleep, hears the voice of a man called Jacob, a voice eerily in the background. Jacob tells the girl her name is Anna and he will help her but she must trust him. However Jacob sounds cryptic. Another voice is that of a little girl who wants you to collect ten purple orbs for her. The little girl and Jacob seem to be antagonists.

Anna soon discovers she is in a vast metropolis under the sea called the Ark of Humanity. The Ark contains three Vaults: The Vault of Art, the Vault of Science and the Vault of War, all rendered in glorious atmospheric color. There are mysteries within mysteries like Russian dolls nested one inside the other. The ocean holds terrible secrets and an evil sorceress rules the briny kingdom. The ending has a dark twist. There are many interesting puzzles to solve along the way, some hard, some quite easy. Of course, hidden objects, beautifully incorporated into the scene, must be discovered.

The ending implies there is going to be a sequel.""Empress of the Deep"" is a hard act to follow but I imagine the developers will succeed in producing another beauty of a game! Highly recommended for the connoisseur.",2010-04-27,Elegant and awesome!,2010,Positive
5,"My 5 1/2 year old has spent quite a while playing video games, and he likes to pop this in every now and again when he's in the mood for something easy.  Flashy graphics and simple, fun gameplay.  Wouldn't be fun for older kids or adults - it's far to easy.

Be warned: don't buy this game AND Diego Safari Rescue as they are the exact same game with different graphics.",2010-02-10,Fun even for 5 year olds,2010,Neutral
5,"YES, THE BEST GAME I OWN. GREAT GRAPHICS, EASY TO UNDERSTAND, FANTASTIC. A HUGE A+++++++.",2010-01-24,WOW!!!!!,2010,Positive
5,"It's been quite some time since a video game has genuinely scared me.  The newer Resident Evil games, as fun as they are, have moved away from horror into more ""action thriller"" areas.  Similar to what the reviewer wrote a few reviews below mine, the last game to really, truly scare me was Silent Hill 2 on the PS2.  I imagine it's quite challenging to make a video game that delivers true horror, just like it must be difficult to make a film or write a book that does the same.  Dead Space, however, not only delivers the terror in spades, but also delivers a game with great gameplay, incredible atmosphere, a movie-worthy story, and pulse pounding action.

First things first...this game is scary.  Aside from the moments Isaac (your character) spends in the game's insta-shops and upgrade stations, every moment spent moving through the corridors of the starship Ishimura will have you on edge.  You are in a constant state of nervousness and vulnerability, as you can be attacked by the horrific Necromorphs at any time, and your resources, while powerful and useful, are very limited, so you must make the most of everything.  The game's terrific presentation only amplifies this.  The graphics are vivid and detailed, and creepy sounds echo from all angles.  Along with Bioshock, this game uses sound more effectively than any other game I've played this generation to create mood.  Soft whispers, hints of distant movements, and creaking metal give way to violent shrieks, blasts and explosions in an instant.  There is no time to rest.  The game won't let you.  It is an intense experience.

Thankfully, the frightening atmosphere is supported by well executed gameplay.  The control scheme closely resembles that of Resident Evil 4.  This works well for this type of game, as it limits your direct view to an over-the-shoulder third person angle, and adds to the tension since you can't see everything around you all the time.  It's very easy to master and soon you will be dismembering your horrifying enemies in glorious, gory fashion.  The action is fast and furious, and is made even more intense by the periods of edgy calm that come in between.  The menus are all simple to navigate and work well, including the level maps that are given to you at the start of each chapter.  The weapons feel tough and meaty.  The zero-gravity areas are a mind trip and cause you to quickly re-adjust the way you perceive the task at hand, and the mechanics for these areas worked great.  From a control perspective, everything worked well.  To someone new to the survival horror genre, movement and control might seem a bit limited at first, especially when compared to other games.  But you'll quickly realize that for a game like this, where so much is about the unknown and the unseen, the scheme is perfect for bringing out the most out of the chilling atmosphere, and really makes the whole experience more immersive.

In addition to the superb graphics and sound, the presentation of the game is rounded off beautifully by a really good story.  The plot details unfold slowly as Isaac discovers audio and text logs that detail what happened on board the Ishimura and the intriguing and disturbing details begin to unfold.  The few other characters in the game are very well written and voice acted.  Overall, it's just a really well put together game that is a lot of fun to play.  Of course, this is a horror game, and a very effective one, so it's obviously not for every taste.  The game's intensity and constant aura of terror might be too much for someone who doesn't enjoy this sort of thing.  But survival horror fans who loved both the not-knowing-what's-around-the-corner creepiness of the original Resident Evil, and the disturbing psychological uneasiness that Silent Hill delivered, will be in heaven here.  It's obvious that lots of time and care was spent to deliver a true, effective survival horror experience, and Dead Space is a resounding success across all fronts.",2010-12-28,Great gameplay plus genuine scares make this a survival horror gem,2010,Positive
4,"I'm really enjoying Split/Second. After playing Forza 3 for several months, it's fun to pick up something like this and just have some mindless fun. The Hollywood-style ""power up"" events are spectacular and get more involved as you progress through the game. There are a couple of game modes I don't care for, especially the solo runs where you have to beat a pattern of missiles or other objects gunning for you, but overall the game delivers a quick ""pick up and play"" game experience that's really fun. I also got a great deal on this game for pre-ordering and had a $10 off coupon from Amazon for ordering another game, so my ""bang for buck"" is based on a $39.99 price.",2010-07-02,A fun guilty pleasure,2010,Positive
4,"They did do a real nice job making a video game based off the movie.  Last one I played, was on my old Commodore 128!  And you probably don't even know what that is!  But this game is done real nice: Even from the start, the menu has that kooky background music from several Ghostbuster scenes - it's fun.  There's a little movie at the start - kinda like the intro to an actual movie, which is cool.  The gameplay itself is cool - certainly looks nice and it's awesome they got everyone to chip in for voices (THANK YOU Bill for signing up!).
-
But the gameplay isn't perfect.  There's no map.  Sometimes you're told to follow someone, only to have no idea where they are or where you're supposed to go.  I can't bring up a big map to see where they are in relation to ME.  Also, the gameplay is also odd in that once you have a ghost, do you throw a trap or wait for them to?  It's a little weird.
-
I like the re-load button for the pack - I wondered how they'd handle that since the proton packs don't use ""ammo"".  I thought the cool-off period works nicely.  The gameplay is smooth and fun.  A bit repetitive, but it's all right.  Different than most first-person-shooters out there.",2010-09-13,"Looks good, plays fine, little confusing.",2010,Positive
5,"good god.....this is the most amazing gaming experience i have ever had....oh sweet mary, mother of kratos",2010-03-23,holy sweet jesus,2010,Positive
1,"I was playing the game and somewhat interested in it at first, but it really didn't make any sense.

I had no idea why I was fighting demons right off the bat when I wasn't even in hell. And then I noticed that after the first cut scene with Beatrice, I begin fighting right away with no explanation at all, in an entirely different place.

The gameplay itself is like Devil May Cry without guns. Just about everything is copied. You have the combos ranked in name by the cool factor of the game, you have the level design, the way the bosses and mini bosses come up, the button mashing. It just doesn't do it as well as Devil May Cry. Even the upgrading is a lot like DMC.

I heard the game was a great big God Of War ripoff, but I'd say it's a DMC ripoff.

Finally what made me stop playing the game however, was the glitches. I encountered a few minor ones, but the worst one was that demons can throw me through the firewalls put up to block your path, and this freezes the game. Because then you are on the other side of the fire wall, where you are not supposed to be, and the game decides to hold everything in place. You can only access the menus, no moving, even the monsters stop moving.

I didn't find the plot that interesting either, nor did it make much sense what I played.",2010-12-12,Glitchy DMC Ripoff,2010,Negative
5,"We bought the Nintendo DS Lite for our daughter for her 5th Birthday and she LOVED it!  I have found it to be great for her; we have bought her age appropriate games that she has enjoyed and have helped her with learning different things.

Our daughter was critically ill 3 months after her birthday and nearly died; when she did start recovering she had very limited use of her right arm and hand (she is right-handed); but she was so determined to play her Hello Kitty game on the Nintendo that she started using her right hand to hold the stylus so she could play her game.  She did get frustrated because she couldn't grip it and kept dropping it but after a couple of days her strength in that arm got better and better and is now completely back to normal.  The nintendo definately helped with her recovery and the doctor said it was her version of physical therapy!",2010-06-07,BOUGHT FOR OUR 5 YEAR OLD --- HELPED HER RECOVER FROM CRITICAL ILLNESS,2010,Positive
5,"As a mature gamer, I find most multi-player online games to be jam-packed full of obnoxious kids and obnoxious adults who still live in their mother's basements and act like kids.

LotRO is the exception.

For a detailed assessment and review, I could give none better than that presented by Jason McKendry...scroll up/down and find his amongst the 5-Star reviews.

If you are a mature, adult gamer who wants to play a well written and designed game, do yourself a favor an buy this game.  It's Free to Play now, but well worth the tiny monthly subscription fee to become a VIP player.  Well worth it indeed.

One thing I do want to mention particularly is the method of play.  If you prefer soloing, as I do because of my real-world schedule, you can play this game without concern.  If you decide you would like to join a Kinship (guild) and/or get involved in group play from time to time, that is entirely up to you and, unlike WoW (et al), not required to enjoy the entirety of the game and the main storyline.",2010-12-25,An MMO for Adults,2010,Positive
5,"When I bought this case I was looking for a small and comfortable case to protect my PSP GO, and it is what I got.

The produdct is completely as specified in the Amazon webpage. It provides the protection required for my portable console and it is easy to carry.",2010-03-05,Simple and comfortable,2010,Positive
5,"We got these (2) as Christmas presents....one of the BEST PRESENTS EVER! Our 10-year-old daughter loved the game (Mario Kart Wii) and the whole ""feel"" of driving the car. Even her two-year-old brother could get in on the fun (just give him the wheel with no remote inserted), and he thought he was ""driving with Sissy."" We only got two and wished that we had gotten four (remotes sold separately) so that the whole family could have raced together! You can play the game without the wheel, but it's so much more fun with!! Easy to ""pop"" the remote in and out. Just a really fun add on for the racing game idea!",2010-01-21,Even the grown ups love it!,2010,Positive
4,"I just want to write a little quick something for this game.  I have a number of hours invested in this game so far and about 10% complete.  It really does feel like Grand Theft Auto in the Old West.  And that's a good thing.

I am really enjoying this game.  So far I have done a few missions, had duels, saved a woman, herded cattle, caught wild horses and broke them, stopped rustlers, worked nightwatch, hunted various critters from rattlesnakes to birds to rabbits and deer to name a few.  I have even picked wildflowers! lol

You can easily sit down and think you are only going to play for a few minutes but end up spending hours at a time on it.  Time just really passes by doing various activities in the game.

I rode a stage coach, drove one too.  I haven't taken the train yet but you can do that as well.  I drove a horse drawn wagon...pretty cool.

There are horses of different colors and speeds.  To save a horse, just hitch it to a hitching post. =)  Don't forget to park your horse! lol

You can purchase properties to save your game and reload on ammo or change outfits.  You can also camp in the open terrain to do some of that as well as fast travel back to places you have visited.

The terrain is wide open and pretty vast.  There are box canyons, streams, mountains, open plains, etc...

The game is set up like GTA where you have a little map in the bottom left of your screen with different icons on it representing different mission characters like a ""B"" for the missions with Bonnie.  Which reminds me and you will see why, you can lasso and hog-tie criminals! lol  Nice. =)

If you liked Gun and Red Dead Revolver as well as GTA, you can't go wrong with Red Dead Redemption.  I highly recommend it.

I had to knock off one star b/c it lacks that OMG excitement factor for me even though it is truly an awesome game.",2010-05-24,A Nice Change of Pace,2010,Positive
5,"Tetris is one the best block-dropping puzzle games out there. Heck, it revolutionized that! Along with arriving on NES, it also plopped onto the portable Game Boy. It has all the same content as Nintendo's NES version, but with an addition of a 2-Player versus mode, and portability on that classic green and black pocket buddy!",2010-11-24,Portable blocks dropping out of your pocket,2010,Positive
4,This style that this game has steals your attention from any flaw in this game.,2010-08-20,Amazing Visual Style,2010,Positive
3,"Lot's of cool puzzles, a great story, great graphics, BUT the difficulty level and having to do the same things over and over make this a 3 star game.  The most satisfying thing about this game was smashing it on the floor and throwing it in the trash!!! I've never been so pissed off at a game in my life. I just want to get through it!  Unless you are looking for an infuriatingly hard game, don't even bother. I played the 1st game through about 6 1/2  hours, so it's not like I didn't give it a chance.  Playing the game on easy mode doesn't make the right parts easy enough and there are 3 harder settings!! Just not right.  Games are supposed to be fun, not make you REALLY want to kill something and/or break something.",2010-12-02,"Very, Very Hard and Very, Very Overated",2010,Negative
5,"The MAG experience is like nothing else out there on consoles.  The visuals are ok, but the THX certified sound is amazing in a surround sound setting.  The huge maps, non-stop action mix with tactical squad communication makes MAG a one in its class console game.  This is not Call of Duty in a bigger scale, this is something entirely different, where coordination is more important than individual skill.
I highly recommend getting into a clan, because otherwise it can get frustrating, and join VALOR lol.
Have fun!",2010-02-23,Massive Fun Game,2010,Positive
5,The charger is working good and it was delievered on time.  My granddaughter is very happy with her charger,2010-09-29,DS Lite Charger,2010,Positive
5,"It was a great game because it was so addicting and challenging --- yet simplistic and in the realm of its own in terms of the game world.

However, please. I was looking at the prices listed for this product and if one is hunting for a good deal, the ones you'll find on Amazon is your best bet because there are some interesting sellers on E-Bay that really think you'll pay nearly 100.00 for a PS-1 game. I mean really folks. A PS-1 game? The PS-1 system doesn't even sell as much as this game is trying to be sold for! Yeah... I mean...true it was a good game but then so is Monopoly and Battleship but you don't see people shelling out 80.00 to 100.00 for em!

Wow. Talk about gouging.",2010-06-13,It was a great game,2010,Negative
5,"I downloaded this game after playing virtual city to completion.  I am enjoying these types of games where you have a goal but you have to figure out how to get there by building, aquiring resources and over coming obsticals.  I have now completed this game and am in search for my next game to conquer.  I recommend this to anyone wanting to escape the chaotic world that we can not control to a world where one can.  Please make more games like this.",2010-12-13,My Kingdom for the Princess,2010,Positive
